reviews	canonical_rebuttals
which is much smaller than the number of time series usually involved say in gene regulatory network data' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
"2.	Data size is too small, and the baselines' [SEP] 'rebuttal_concede-criticism"	We apologize for unclear description of experimental settings.
Did the authors also examine the relationship between mutual information and generalization error for CIFAR data sets? Does it not make sense to examine this for all (most of) the setups considered in Table 4, 8, and 9.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
Due to the different objects used in the different datasets, some of the experiments have a smaller set of words.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
It will be also interesting to see how does the proposed method perform on large-scale datasets such as DomainNet and Office-Home dataset:' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
Weaknesses: The dataset created here is entirely synthetic, and the paper only includes one single small real-world case; it seems like it would be easy to generate a larger and more varied real world dataset as well (possibly from the large literature of extant solved problems in workbooks).' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
The descriptions of the datasets used are not clear, e.g., the number of classes for each data.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
First, the labeled data portion is fixed and is relatively high' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
For example, the number of labeled examples in Table 1 is fairly large and inconsistent (4K, 1K, 10K for the 3 organic datasets).' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
BSD 500 only contains 500 images, and it would be good if more diverse set of images are considered.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
- Some of the datasets the authors currently test on are quite toy, especially for the image-based MNIST and SVHN datasets.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
Is it better to decay learning rates for toy data sets?' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
It is difficult to judge the performance of the proposed model based on so small data set.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
The first point would be: what's the meaning of synthetically generating training curves other than proving that transformer achieves good performance in modeling discrete distribution? Most practical problems would not have the same distribution as the previously gathered public dataset, thus the data is not representative, and synthetic training curves just does not make sence.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
* There is still no comparison with competing nonparametric tests on the fMRI data.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
- How much does the image matter for the single-image data set?' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
The author can perhaps consider the datasets used by Tsai et al. There are seven datasets, and they can all be modified to the setting of partially-observable multimodal data.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
"Apart from the assumption H1 of linear separability of the data (which I don't mind), the results require very strong assumptions, in particular hypothesis H2 stating ""at the beginning of training data points from different classes do not activate the same neurons"".' [SEP] 'rebuttal_concede-criticism"	We apologize for unclear description of experimental settings.
It would have been very interesting to study the quality of interpolations on more models and datasets, and compare their generalization capabilities as well as the bias present in the different datasets.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
Third, the datasets used in this paper are rather limited.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
What is the minimum/maximum size of the data set? Do we really need a large data set or just a subset that covers the data distribution?' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
- Fitting 6 parameters to 42-49 data points raises concerns about overfitting.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
Consider doing cross validation over those 42-49 data points, and report the mean of deviations computed on the test folds.' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
My only issue here is that very little information was given about the size of the training sets. Did they use all the samples?' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
However, in the proposed domain of tabular data, often data sets are significantly more high dimensional in reality and include at least one set of sparse large dimensional features' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
However, these were done using 1 dataset and also a simple feed-forward network (rather than LSTM).' [SEP] 'rebuttal_concede-criticism	We apologize for unclear description of experimental settings.
